id,ts,market,contract_type,algorithm,signal,stake,entry_price,exit_price,pnl,result,balance_after,contract_id,duration_ticks,notes
46,2026-04-03T03:09:05.587648,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.33,,,CANCELLED,,,,WebSocket is not connected
45,2026-04-03T03:09:05.537979,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.33,,,CANCELLED,,,,WebSocket is not connected
44,2026-04-03T03:09:05.506973,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.36,,,CANCELLED,,,,WebSocket is not connected
43,2026-04-03T03:09:05.441983,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.36,,,CANCELLED,,,,WebSocket is not connected
42,2026-04-03T03:09:05.400786,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.47,,,CANCELLED,,,,WebSocket is not connected
41,2026-04-03T03:09:05.358449,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.47,,,CANCELLED,,,,WebSocket is not connected
40,2026-04-03T03:09:05.312756,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.43,,,CANCELLED,,,,WebSocket is not connected
39,2026-04-03T03:09:05.240685,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 5.0% (expected 10%),8,1.0,9790.43,,,CANCELLED,,,,WebSocket is not connected
38,2026-04-03T03:09:05.200007,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 6.0% (expected 10%),8,1.0,9790.4,,,CANCELLED,,,,WebSocket is not connected
37,2026-04-03T03:09:05.121087,1HZ10V,DIGITMATCH,Digit 6 underrepresented at 7.0% (expected 10%),6,1.0,9790.4,,,CANCELLED,,,,WebSocket is not connected
36,2026-04-03T03:09:05.087431,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 7.0% (expected 10%),8,1.0,9790.52,,,CANCELLED,,,,WebSocket is not connected
35,2026-04-03T03:09:04.970729,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 7.0% (expected 10%),8,1.0,9790.52,,,CANCELLED,,,,WebSocket is not connected
34,2026-04-03T03:09:04.949190,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 7.0% (expected 10%),8,1.0,9790.11,,,CANCELLED,,,,WebSocket is not connected
33,2026-04-03T03:09:04.886752,1HZ10V,DIGITMATCH,Digit 8 underrepresented at 7.0% (expected 10%),8,1.0,9790.11,,,CANCELLED,,,,WebSocket is not connected
